sample_id,dialogue_id,utterance_id,speaker,utterance,context,gold_label,prompt_type,input_condition,model_name,custom_id,raw_output,confidence,reason,is_demo,free_emotions,free_emotions_norm,mapped_label,mapping_method,mapping_confidence,mapping_reason,is_correct
S0002,18,7,Phoebe,"Well for the regular guy, its bad, but Chandler, Oh dear God!",Monica: The woman from the museum called and said that there was a cancellation and that we could move up our wedding and Chandler heard! Monica: I know! Monica: How bad is this?,fear,perturbation,text + context,qwen-vl-plus,perturbation:S0002:text_plus_context,"{\n  ""free_emotions"": [""shock"", ""concern""],\n  ""confidence"": 0.85,\n  ""reason"": ""Phoebe's reaction to Chandler hearing about the wedding cancellation suggests a mix of shock at the unexpected news and concern for Chandler's potential distress.""\n}",0.85,Phoebe's reaction to Chandler hearing about the wedding cancellation suggests a mix of shock at the unexpected news and concern for Chandler's potential distress.,false,shock|concern,shock|concern,surprise,dictionary_tie_break,0.6,Dictionary labels tied; used first generated emotion as tie-break.,false
S0002,18,7,Phoebe,"Well for the regular guy, its bad, but Chandler, Oh dear God!",Monica: The woman from the museum called and said that there was a cancellation and that we could move up our wedding and Chandler heard! Monica: I know! Monica: How bad is this?,fear,perturbation,text + context + image,qwen-vl-plus,perturbation:S0002:text_plus_context_plus_image,"{\n  ""free_emotions"": [""surprise"", ""concern""],\n  ""confidence"": 0.85,\n  ""reason"": ""Phoebe's wide eyes and open mouth suggest surprise, while her tone and context imply concern about the situation involving Chandler.""\n}",0.85,"Phoebe's wide eyes and open mouth suggest surprise, while her tone and context imply concern about the situation involving Chandler.",false,surprise|concern,surprise|concern,surprise,dictionary_tie_break,0.6,Dictionary labels tied; used first generated emotion as tie-break.,false
S0002,18,7,Phoebe,"Well for the regular guy, its bad, but Chandler, Oh dear God!",Monica: The woman from the museum called and said that there was a cancellation and that we could move up our wedding and Chandler heard! Monica: I know! Monica: How bad is this?,fear,perturbation,text-only,qwen-vl-plus,perturbation:S0002:text_only,"{\n  ""free_emotions"": [""shock"", ""concern""],\n  ""confidence"": 0.8,\n  ""reason"": ""Phoebe's use of 'Oh dear God!' and the emphasis on Chandler suggests a strong emotional reaction, likely shock or concern.""\n}",0.8,"Phoebe's use of 'Oh dear God!' and the emphasis on Chandler suggests a strong emotional reaction, likely shock or concern.",false,shock|concern,shock|concern,surprise,dictionary_tie_break,0.6,Dictionary labels tied; used first generated emotion as tie-break.,false
S0001,100,0,Monica,Okay. Its Emma.,,neutral,perturbation,text + context + image,qwen-vl-plus,perturbation:S0001:text_plus_context_plus_image,"{\n  ""free_emotions"": [""neutral"", ""reflective""],\n  ""confidence"": 0.7,\n  ""reason"": ""The speaker's tone is calm and straightforward, suggesting a neutral emotional state with a hint of reflection based on the context of the conversation.""\n\n  ,\n  ""free_emotions"": [""concerned"", ""pensive""],\n  ""confidence"": 0.8,\n  ""reason"": ""The visual shows a character in a wedding dress looking thoughtful and slightly concerned, indicating a pensive and possibly worried emotional state.""\n  \n  ,\n  ""free_emotions"": [""neutral"", ""contemplative""],\n  ""confidence"": 0.6,\n  ""reason"": ""The speaker's brief utterance 'Okay. It's Emma.' suggests a neutral and contemplative mood, possibly reflecting on the situation or person mentioned.""\n  \n  ,\n  ""free_emotions"": [""calm"", ""resigned""],\n  ""confidence"": 0.7,\n  ""reason"": ""The overall tone of the scene appears calm, with the character showing signs of resignation or acceptance, as indicated by their posture and expression.""\n  \n  ,\n  ""free_emotions"": [""neutral"", ""observant""],\n  ""confidence"": 0.75,\n  ""reason"": ""The speaker's short response indicates an observant and neutral stance, possibly acknowledging something without strong emotion.""\n  \n  ,\n  ""free_emotions"": [""thoughtful"", ""subtle concern""],\n  ""confidence"": 0.8,\n  ""reason"": ""The character's expression and body language suggest a thoughtful demeanor with subtle concern, indicating a nuanced emotional state.""\n  \n  ,\n  ""free_emotions"": [""composed"", ""reflective""],\n  ""confidence"": 0.7,\n  ""reason"": ""The speaker maintains a composed tone while reflecting on the situation, as evidenced by the calm delivery of the statement.""\n  \n  ,\n  ""free_emotions"": [""neutral"", ""acknowledging""],\n  ""confidence"": 0.8,\n  ""reason"": ""The speaker's response is brief and direct, indicating an acknowledgment of the situation without strong emotional involvement.""\n  \n  ,\n  ""free_emotions"": [""calm"", ""introspective""],\n  ""confidence"": 0.7,\n  ""reason"": ""The overall atmosphere of the scene is calm, with the character appearing introspective and reflective, suggesting a subdued emotional state.""\n  \n  ,\n  ""free_emotions"": [""neutral"", ""casual""],\n  ""confidence"": 0.7,\n  ""reason"": ""The speaker's tone is casual and neutral, indicating a relaxed and unemotional response to the situation.""\n  \n  ,\n  ""free_emotions"": [""composed"", ""reserved""],\n  ""confidence"": 0.75,\n  ""reason"": ""The speaker maintains a composed and reserved demeanor, suggesting a controlled emotional state with minimal expression.""\n  \n  ,\n  ""free_emotions"": [""neutral"", ""informative""],\n  ""confidence"": 0.8,\n  ""reason"": ""The speaker provides information in a neutral tone, indicating an informative and unemotional approach to the conversation.""\n  \n  ,\n  ""free_emotions"": [""calm"", ""reflective""],\n  ""confidence"": 0.7,\n  ""reason"": ""The speaker's tone is calm and reflective, suggesting a thoughtful and measured response to the situation.""\n  \n  ,\n  ""free_emotions"": [""neutral"", ""matter-of-fact""],\n  ""confidence"": 0.8,\n  ""reason"": ""The speaker delivers the information in a matter-of-fact manner, indicating a neutral and straightforward emotional state.""\n  \n  ,\n  ""free_emotions"": [""composed"", ""unemotional""],\n  ""confidence"": 0.75,\n  ""reason"": ""The speaker remains composed and unemotional, suggesting a controlled and measured response to the situation.""\n  \n  ,\n  ""free_emotions"": [""neutral"", ""acknowledging""],\n  ""confidence"": 0.8,\n  ""reason"": ""The speaker acknowledges the situation with a neutral tone, indicating a lack of strong emotional involvement.""\n  \n  ,\n  ""free_emotions"": [""calm"", ""contemplative""],\n  ""confidence"": 0.7,\n  ""reason"": ""The speaker's tone is calm and contemplative, suggesting a reflective and measured emotional state.""\n  \n  ,\n  ""free_emotions"": [""composed"", ""reserved""],\n  ""confidence"": 0.75,\n  ""reason"": ""The speaker maintains a composed and reserved demeanor, indicating a controlled and measured emotional response.""\n  \n  ,\n  ""free_emotions"": [""neutral"", ""informative""],\n  ""confidence"": 0.8,\n  ""reason"": ""The speaker provides information in a neutral tone, suggesting an informative and unemotional approach to the conversation.""\n  \n  ,\n  ""free_emotions"": [""calm"", ""reflective""],\n  ""confidence"": 0.7,\n  ""reason"": ""The speaker's tone is calm and reflective, indicating a thoughtful and measured response to the situation.""\n  \n  ,\n  ""free_emotions"": [""neutral"", ""matter-of-fact""],\n  ""confidence"": 0.8,\n  ""reason"": ""The speaker delivers the information in a matter-of-fact manner, indicating a neutral and straightforward emotional state.""\n  \n  ,\n  ""free_emotions"": [""composed"", ""unemotional""],\n  ""confidence"": 0.75,\n  ""reason"": ""The speaker remains composed and unemotional, suggesting a controlled and measured response to the situation.""\n  \n  ,\n  ""free_emotions"": [""neutral"", ""acknowledging""],\n  ""confidence"": 0.8,\n  ""reason"": ""The speaker acknowledges the situation with a neutral tone, indicating a lack of strong emotional involvement.""\n  \n  ,\n  ""free_emotions"": [""calm"", ""contemplative""],\n  ""confidence"": 0.7,\n  ""reason"": ""The speaker's tone is calm and contemplative, suggesting a reflective and measured emotional state.""\n  \n  ,\n  ""free_emotions"": [""composed"", ""reserved""],\n  ""confidence"": 0.75,\n  ""reason"": ""The speaker maintains a composed and reserved demeanor, indicating a controlled and measured emotional response.""\n  \n  ,\n  ""free_emotions"": [""neutral"", ""informative""],\n  ""confidence"": 0.8,\n  ""reason"": ""The speaker provides information in a neutral tone, suggesting an informative and unemotional approach to the conversation.""\n  \n  ,\n  ""free_emotions"": [""calm"", ""reflective""],\n  ""confidence"": 0.7,\n  ""reason"": ""The speaker's tone is calm and reflective, indicating a thoughtful and measured response to the situation.""\n  \n  ,\n  ""free_emotions"": [""neutral"", ""matter-of-fact""],\n  ""confidence"": 0.8,\n  ""reason"": ""The speaker delivers the information in a matter-of-fact manner, indicating a neutral and straightforward emotional state.""\n  \n  ,\n  ""free_emotions"": [""composed"", ""unemotional""],\n  ""confidence"": 0.75,\n  ""reason"": ""The speaker remains composed and unemotional, suggesting a controlled and measured response to the situation.""\n  \n  ,\n  ""free_emotions"": [""neutral"", ""acknowledging""],\n  ""confidence"": 0.8,\n  ""reason"": ""The speaker acknowledges the situation with a neutral tone, indicating a lack of strong emotional involvement.""\n  \n  ,\n  ""free_emotions"": [""calm"", ""contemplative""],\n  ""confidence"": 0.7,\n  ""reason"": ""The speaker's tone is calm and contemplative, suggesting a reflective and measured emotional state.""\n  \n  ,\n  ""free_emotions"": [""composed"", ""reserved""],\n  ""confidence"": 0.75,\n  ""reason"": ""The speaker maintains a composed and",0.7,"The speaker's tone is calm and straightforward, suggesting a neutral emotional state with a hint of reflection based on the context of the conversation.",false,neutral|reflective,neutral|reflective,neutral,dictionary,0.8500000000000001,Dictionary majority vote over normalized emotion words.,true
S0001,100,0,Monica,Okay. Its Emma.,,neutral,perturbation,text-only,qwen-vl-plus,perturbation:S0001:text_only,"{\n  ""free_emotions"": [""neutral"", ""acknowledging""],\n  ""confidence"": 0.8,\n  ""reason"": ""The utterance is brief and lacks emotional intensity, suggesting a neutral tone with acknowledgment.""\n}",0.8,"The utterance is brief and lacks emotional intensity, suggesting a neutral tone with acknowledgment.",false,neutral|acknowledging,neutral|acknowledging,neutral,dictionary,0.8500000000000001,Dictionary majority vote over normalized emotion words.,true
S0001,100,0,Monica,Okay. Its Emma.,,neutral,perturbation,text + context,qwen-vl-plus,perturbation:S0001:text_plus_context,"{\n  ""free_emotions"": [""neutral"", ""acknowledging""],\n  ""confidence"": 0.8,\n  ""reason"": ""The utterance 'Okay. It's Emma.' is short and lacks emotional intensity, suggesting a neutral tone with acknowledgment.""\n}",0.8,"The utterance 'Okay. It's Emma.' is short and lacks emotional intensity, suggesting a neutral tone with acknowledgment.",false,neutral|acknowledging,neutral|acknowledging,neutral,dictionary,0.8500000000000001,Dictionary majority vote over normalized emotion words.,true
S0003,19,13,Susan,Who am I?,Ross: Where does that leave me? Susan: You get to be the baby's father. Susan: Everyone knows who you are.,anger,perturbation,text + context,qwen-vl-plus,perturbation:S0003:text_plus_context,"{\n  ""free_emotions"": [""confusion"", ""identity""],\n  ""confidence"": 0.85,\n  ""reason"": ""Susan's question 'Who am I?' indicates a state of confusion and an exploration of her identity, especially in contrast to the previous statement where she asserts certainty about Ross's role.""\n}",0.85,"Susan's question 'Who am I?' indicates a state of confusion and an exploration of her identity, especially in contrast to the previous statement where she asserts certainty about Ross's role.",false,confusion|identity,confusion|identity,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0004,2,1,Estelle,Well! Well! Well! Joey Tribbiani! So you came back huh? They,"Joey: Hey Estelle, listen",surprise,perturbation,text + context + image,qwen-vl-plus,perturbation:S0004:text_plus_context_plus_image,"{\n  ""free_emotions"": [""surprise"", ""skepticism""],\n  ""confidence"": 0.85,\n  ""reason"": ""Estelle's repeated 'Well!' and direct address to Joey suggest surprise at his return, while her facial expression and hand gesture convey a skeptical or questioning tone.""\n}",0.85,"Estelle's repeated 'Well!' and direct address to Joey suggest surprise at his return, while her facial expression and hand gesture convey a skeptical or questioning tone.",false,surprise|skepticism,surprise|skepticism,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,true
S0003,19,13,Susan,Who am I?,Ross: Where does that leave me? Susan: You get to be the baby's father. Susan: Everyone knows who you are.,anger,perturbation,text-only,qwen-vl-plus,perturbation:S0003:text_only,"{\n  ""free_emotions"": [""confusion"", ""self-doubt""],\n  ""confidence"": 0.8,\n  ""reason"": ""The question 'Who am I?' suggests introspection and uncertainty about identity, indicating confusion and self-doubt.""\n}",0.8,"The question 'Who am I?' suggests introspection and uncertainty about identity, indicating confusion and self-doubt.",false,confusion|self-doubt,confusion|self-doubt,surprise,hybrid_dictionary_plus_fallback,0.75,Dictionary majority vote over normalized emotion words.,false
S0003,19,13,Susan,Who am I?,Ross: Where does that leave me? Susan: You get to be the baby's father. Susan: Everyone knows who you are.,anger,perturbation,text + context + image,qwen-vl-plus,perturbation:S0003:text_plus_context_plus_image,"{\n  ""free_emotions"": [""confusion"", ""uncertainty""],\n  ""confidence"": 0.85,\n  ""reason"": ""Susan's question 'Who am I?' and her expressive gesture suggest she is experiencing confusion and uncertainty about her identity or role.""\n}",0.85,Susan's question 'Who am I?' and her expressive gesture suggest she is experiencing confusion and uncertainty about her identity or role.,false,confusion|uncertainty,confusion|uncertainty,surprise,dictionary_tie_break,0.6,Dictionary labels tied; used first generated emotion as tie-break.,false
